School,Physical Address,Street,City,State,ZipCode,Total Tuition In State,Tuition per Credit In State,In-state fees,Total Tuition Out of State,Tuition per Credit Out of State,Out-of-state fees,Total Grad Acct Completions (2019-2020),Total UnderGrad Acct Completions (2019-2020),Program Website,Degree Program Name,Modality,Program Degree Credits,Programmic Accrediation ,Grad Course Number,Name of Course,Description,Course Credits,Prerequisite,Core or Elective,Competencies
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,AC700,Ethics for Accounting Professional,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Core,Ethics and CSR
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Partially online,30,AACSB,AC702,Advanced Financial Accounting,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Core,Financial Recordkeeping
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Partially online,30,AACSB,AC705,Audit Analytics,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Core,Analysis 
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,AC708,Advanced Finance,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Core,Financial Statement Analysis
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,AC710,Professional Communications,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Core,Communication
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,AC712,SEC Reporting,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Core,Reporting
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,AC709,Accounting Internship,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Core,Technical Skills
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,AC711,Seminar in Accounting Practice,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Core,Technical Skills
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Partially online,30,AACSB,AC701,Advanced International Accounting,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Elective,Global Perspectives
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Partially online,30,AACSB,AC704,Tax Research,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Elective,Research
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Partially online,30,AACSB,AC719,Individual Income Tax,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Elective,Tax Compliance
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,GB736,Data Visualization for Decision Making,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Elective,Data Visualization
