StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Dear Classmate:

As part of my Data Science in Context Assignment to present next Wednesday, I need to gather data about your knowledge of survey software.  My survey is only one question  and will take 30 to 60 seconds to complete. The survey is anonymous and I will not ask for your name.  


If you have any questions about this study, you may contact me at joseph.foy@cuny.edu.



Thanks for you help!  Joe Foy
How familiar are you with Qualtrics?"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID30""}"
11/4/2021 16:46,11/4/2021 16:46,IP Address,172.58.225.90,100,14,TRUE,11/4/2021 16:46,R_1LHzJS2E8VU54sP,,,,,40.67129517,-73.89430237,anonymous,EN,Never heard of it.
11/4/2021 16:45,11/4/2021 16:47,IP Address,99.35.202.103,100,79,TRUE,11/4/2021 16:47,R_3qWMlpOe7pKhzQf,,,,,34.87750244,-92.22650146,anonymous,EN,Never heard of it.
11/4/2021 18:40,11/4/2021 18:40,IP Address,67.241.4.199,100,42,TRUE,11/4/2021 18:40,R_1pFjhjJOIZUeCVj,,,,,43.07449341,-76.14659882,anonymous,EN,Never heard of it.
11/4/2021 22:24,11/4/2021 22:24,IP Address,24.104.229.250,100,20,TRUE,11/4/2021 22:24,R_3fOeKdeXIhvWKui,,,,,40.69940186,-73.88829803,anonymous,EN,Never heard of it.
11/5/2021 9:57,11/5/2021 9:57,IP Address,74.108.219.115,100,8,TRUE,11/5/2021 9:57,R_2EyQGmQmMJQBCSf,,,,,40.62080383,-74.04260254,anonymous,EN,Never heard of it.
11/5/2021 10:12,11/5/2021 10:13,IP Address,172.58.228.118,100,31,TRUE,11/5/2021 10:13,R_AgJkXcDDIjMO3MR,,,,,40.83430481,-73.92350006,anonymous,EN,
11/5/2021 14:07,11/5/2021 14:07,IP Address,172.58.231.33,100,7,TRUE,11/5/2021 14:07,R_3Pt19Crv8MMTyaJ,,,,,40.72520447,-73.94400024,anonymous,EN,Never heard of it.
11/5/2021 14:07,11/5/2021 14:07,IP Address,173.77.213.108,100,10,TRUE,11/5/2021 14:07,R_BKgBMo9uTsTxTAR,,,,,40.84700012,-73.86160278,anonymous,EN,"I have heard of it, but not familiar with it at all."
11/5/2021 14:07,11/5/2021 14:07,IP Address,24.60.166.221,100,28,TRUE,11/5/2021 14:07,R_2EtbZoa9FSDvo6g,,,,,41.31860352,-72.93019867,anonymous,EN,Never heard of it.
11/5/2021 14:08,11/5/2021 14:08,IP Address,24.246.105.130,100,9,TRUE,11/5/2021 14:08,R_z7rcBvOSCalfNDz,,,,,41.04289246,-74.10040283,anonymous,EN,Never heard of it.
11/5/2021 14:11,11/5/2021 14:11,IP Address,108.70.160.200,100,20,TRUE,11/5/2021 14:11,R_3shmJ6dYjKBtMoy,,,,,33.34440613,-84.09149933,anonymous,EN,Never heard of it.
11/5/2021 14:39,11/5/2021 14:39,IP Address,208.98.222.65,100,24,TRUE,11/5/2021 14:39,R_3m9JqijKQVibQ6l,,,,,43.67520142,-79.34719849,anonymous,EN,Never heard of it.
11/5/2021 14:53,11/5/2021 14:54,IP Address,216.236.150.50,100,16,TRUE,11/5/2021 14:54,R_1rcTZOSHyjafsdf,,,,,40.67630005,-73.94920349,anonymous,EN,"I have heard of it, but not familiar with it at all."
11/6/2021 0:03,11/6/2021 0:03,IP Address,173.56.93.241,100,30,TRUE,11/6/2021 0:03,R_CdEIBGzdQTyaHyp,,,,,40.80000305,-73.9763031,anonymous,EN,"I have heard of it, but not familiar with it at all."
