"Table 4. Personal Wealth 2016:  Male Top Wealth Holders with Gross Assets of $5.45 Million or More, Type of Property by Age of Wealth Holder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[All figures are estimates based on samples--money amounts are in   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millions of dollars.]  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brief definitions are included in each column header.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Additional data information, including expanded definitions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,,Total assets [1],,Debts and mortgages,,Net worth,,Personal residence,,Other real estate,,Closely held stock,,Publicly traded stock,,State and local government bonds,,Federal bonds,,Corporate and foreign bonds,,Bond funds,,Diversified mutual funds,,Unallocated investments,,Cash assets,,Mortgages and notes,,Cash value life insurance,,Noncorporate business assets,,Farm assets ,,Private equity and hedge funds,,Other limited partnerships,,Retirement assets,,Art,,Other assets,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),,
Total,,"456,850","6,558,225","333,190","475,560","456,850","6,082,665","327,445","321,522","265,165","490,849","172,271","1,072,850","351,669","1,209,736","187,504","295,322","94,297","33,541","151,809","65,357","103,352","32,964","203,446","58,049","58,346","45,232","440,001","453,502","132,194","194,422","159,872","34,298","227,502","831,948","58,459","240,540","56,690","267,348","118,330","222,438","348,951","500,949","46,392","40,910","405,279","146,448",,
Under 50,,"151,891","1,615,158","119,388","128,765","151,891","1,486,393","99,819","88,936","61,679","98,961","56,159","289,578","113,056","293,889","54,880","67,155","31,511","4,996","47,275","23,084","37,206","12,347","72,268","18,034","9,840","14,792","142,649","98,692","34,320","38,632","41,247","8,916","75,492","211,564","11,996","53,839","20,770","107,934","35,465","43,796","100,328","103,757","9,177","1,326","131,379","34,932",,
50 under 60,,"88,669","1,224,255","67,750","175,320","88,669","1,048,935","69,407","73,935","57,097","91,498","35,765","166,772","68,487","202,204","30,556","33,998","17,114","2,906","29,259","7,313","20,368","7,125","33,828","8,834","14,989","7,575","86,047","92,784","24,761","23,421","34,820","9,944","51,503","234,546","10,994","47,778","10,831","35,894","21,005","51,415","74,476","99,952","9,561","1,760","79,464","24,601",,
60 under 70,,"92,718","1,662,388","65,792","74,021","92,718","1,588,367","70,239","63,508","65,689","118,944","39,221","389,806","71,114","259,606","39,951","55,766","17,949","7,774","32,497","9,121","19,411","4,244","42,346","10,290","15,649","8,453","90,480","90,303","31,477","54,516","40,244","8,104","48,690","213,282","15,802","53,870","11,182","77,938","24,507","50,138","78,628","128,147","10,021","8,383","84,184","50,196",,
70 under 80,,"68,877","1,125,565","45,048","54,019","68,877","1,071,546","51,092","53,476","49,075","98,253","26,062","135,123","53,666","227,558","31,930","66,116","14,442","7,390","23,110","11,662","14,681","4,111","29,669","11,428","11,021","7,306","66,746","96,108","23,918","42,439","23,617","4,155","32,906","100,638","11,327","50,803","8,434","27,567","20,973","40,337","56,140","110,148","9,425","11,263","61,258","19,682",,
80 under 90,,"41,656","686,279","26,536","33,191","41,656","653,088","28,956","32,736","25,058","67,772","12,516","62,793","34,335","161,315","22,089","52,544","9,966","6,424","14,700","9,542","8,839","3,009","19,229","6,756","5,107","4,744","41,148","56,980","14,029","24,690","14,978","2,416","15,212","52,553","6,416","27,894","4,495","12,158","12,494","27,052","31,308","51,565","6,327","11,315","37,604","12,018",,
